DATE: Sun, 07 Jun 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:02,21.100000381469727,37.400001525878906
00:01:01,21.100000381469727,37.29999923706055
00:02:02,21.100000381469727,37.29999923706055
00:03:01,21.100000381469727,37.29999923706055
00:04:01,21.100000381469727,37.400001525878906
00:05:02,21.0,37.29999923706055
00:06:01,21.100000381469727,37.400001525878906
00:07:01,21.100000381469727,37.29999923706055
00:08:01,21.100000381469727,37.29999923706055
00:09:01,21.100000381469727,37.29999923706055
00:10:02,21.200000762939453,37.099998474121094
00:11:01,21.100000381469727,37.20000076293945
00:12:01,21.100000381469727,37.20000076293945
00:13:02,21.200000762939453,37.0
00:14:02,21.200000762939453,37.0
00:15:02,21.100000381469727,37.20000076293945
00:16:02,21.100000381469727,37.20000076293945
00:17:02,21.100000381469727,37.29999923706055
00:18:02,21.100000381469727,37.20000076293945
00:19:01,21.100000381469727,37.20000076293945
00:20:02,21.100000381469727,37.20000076293945
00:21:01,21.0,37.099998474121094
00:22:01,21.0,37.29999923706055
00:23:01,21.0,37.20000076293945
00:24:02,21.0,37.20000076293945
00:25:02,21.0,37.29999923706055
00:26:01,20.899999618530273,37.400001525878906
00:27:01,20.899999618530273,37.29999923706055
00:28:01,20.899999618530273,37.5
00:29:01,20.899999618530273,37.400001525878906
00:30:02,20.899999618530273,37.29999923706055
00:31:02,20.899999618530273,37.400001525878906
00:32:02,20.899999618530273,37.5
00:33:01,20.899999618530273,37.5
00:34:01,20.899999618530273,37.5
00:35:01,20.799999237060547,37.5
00:36:01,20.799999237060547,37.5
00:37:01,20.799999237060547,37.599998474121094
00:38:01,20.799999237060547,37.5
00:39:01,20.799999237060547,37.5
00:40:02,20.700000762939453,37.5
00:41:02,20.700000762939453,37.5
00:42:01,20.799999237060547,37.400001525878906
00:43:01,20.700000762939453,37.5
00:44:02,20.700000762939453,37.5
00:45:01,20.700000762939453,37.5
00:46:01,20.700000762939453,37.5
00:47:01,20.700000762939453,37.5
00:48:01,20.700000762939453,37.599998474121094
00:49:01,20.700000762939453,37.599998474121094
00:50:02,20.700000762939453,37.5
00:51:02,20.799999237060547,37.599998474121094
00:52:02,20.799999237060547,37.599998474121094
00:53:01,20.799999237060547,38.0
00:54:01,20.799999237060547,38.0
00:55:01,20.799999237060547,38.29999923706055
00:56:01,20.899999618530273,38.0
00:57:01,21.0,37.70000076293945
00:58:02,21.0,37.70000076293945
00:59:01,21.0,37.5
01:00:01,21.0,37.5
01:01:01,21.0,37.5
01:02:02,21.0,37.5
01:03:02,21.0,37.5
01:04:02,21.0,37.599998474121094
01:05:02,21.0,37.599998474121094
01:06:02,20.899999618530273,37.599998474121094
01:07:01,20.899999618530273,37.70000076293945
01:08:01,21.0,37.599998474121094
01:09:01,20.899999618530273,37.70000076293945
01:10:02,20.899999618530273,37.79999923706055
01:11:02,20.899999618530273,38.20000076293945
01:12:02,21.0,37.79999923706055
