DATE: Wed, 22 Jul 2015 10:21:42 +0000
Time,Temperature [degree C],Relative humidity [%]
10:21:42,19.899999618530273,47.5
10:22:02,19.899999618530273,47.5
10:23:02,19.899999618530273,47.5
10:24:01,20.0,47.400001525878906
10:25:02,20.0,47.400001525878906
10:26:02,20.0,47.400001525878906
10:27:01,20.0,47.29999923706055
10:28:01,20.100000381469727,47.400001525878906
10:29:01,20.0,47.20000076293945
10:30:02,20.100000381469727,47.29999923706055
10:31:02,20.100000381469727,47.099998474121094
10:32:01,20.200000762939453,47.099998474121094
10:33:01,20.200000762939453,47.0
10:34:01,20.200000762939453,47.0
10:35:01,20.200000762939453,47.0
10:36:01,20.200000762939453,46.900001525878906
10:37:01,20.200000762939453,47.0
10:38:01,20.200000762939453,46.900001525878906
10:39:01,20.299999237060547,46.900001525878906
10:40:02,20.299999237060547,46.79999923706055
10:41:02,20.299999237060547,46.79999923706055
10:42:01,20.200000762939453,46.79999923706055
10:43:02,20.200000762939453,46.79999923706055
10:44:02,20.200000762939453,46.79999923706055
10:45:02,20.200000762939453,46.900001525878906
10:46:02,20.200000762939453,46.900001525878906
10:47:02,20.200000762939453,46.900001525878906
10:48:02,20.200000762939453,46.79999923706055
10:49:02,20.200000762939453,46.79999923706055
10:50:02,20.200000762939453,46.70000076293945
10:51:02,20.200000762939453,46.79999923706055
10:52:02,20.200000762939453,46.70000076293945
10:53:02,20.200000762939453,46.70000076293945
10:54:02,20.200000762939453,46.79999923706055
10:55:01,20.200000762939453,46.599998474121094
10:56:02,20.299999237060547,46.70000076293945
10:57:02,20.200000762939453,46.70000076293945
10:58:02,20.299999237060547,46.79999923706055
10:59:02,20.299999237060547,46.79999923706055
11:00:02,20.299999237060547,46.79999923706055
11:01:02,20.299999237060547,46.79999923706055
11:02:02,20.299999237060547,46.79999923706055
11:03:01,20.299999237060547,46.79999923706055
11:04:02,20.299999237060547,46.79999923706055
11:05:02,20.200000762939453,46.70000076293945
11:06:01,20.200000762939453,46.70000076293945
11:07:01,20.299999237060547,46.79999923706055
11:08:01,20.200000762939453,46.79999923706055
11:09:01,20.200000762939453,46.79999923706055
11:10:02,20.200000762939453,46.79999923706055
11:11:01,20.200000762939453,46.79999923706055
