DATE: Sun, 26 Jul 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,23.100000381469727,45.900001525878906
00:01:01,23.0,45.599998474121094
00:02:02,23.100000381469727,45.70000076293945
00:03:01,23.100000381469727,45.599998474121094
00:04:01,23.0,45.5
00:05:02,23.0,45.5
00:06:01,23.0,45.5
00:07:01,23.0,45.599998474121094
00:08:01,23.0,45.5
00:09:01,23.0,45.5
00:10:02,23.0,45.5
00:11:02,23.0,45.5
00:12:01,23.0,45.400001525878906
00:13:02,23.0,45.29999923706055
00:14:01,22.899999618530273,45.29999923706055
00:15:02,23.0,45.29999923706055
00:16:02,22.899999618530273,45.5
00:17:02,22.5,45.5
00:18:02,22.899999618530273,45.599998474121094
00:19:02,22.899999618530273,46.0
00:20:02,22.899999618530273,46.20000076293945
00:21:01,22.899999618530273,46.29999923706055
00:22:02,22.899999618530273,46.20000076293945
00:23:02,22.899999618530273,46.400001525878906
00:24:01,22.899999618530273,46.5
00:25:01,22.899999618530273,46.599998474121094
00:26:01,22.799999237060547,46.599998474121094
00:27:01,22.799999237060547,46.599998474121094
00:28:01,22.799999237060547,46.70000076293945
00:29:01,22.799999237060547,46.599998474121094
00:30:02,22.799999237060547,46.70000076293945
00:31:01,22.799999237060547,46.70000076293945
00:32:02,22.700000762939453,46.70000076293945
00:33:01,22.799999237060547,46.70000076293945
00:34:02,22.700000762939453,46.70000076293945
00:35:02,22.700000762939453,46.70000076293945
00:36:02,22.700000762939453,46.70000076293945
00:37:01,22.700000762939453,46.79999923706055
00:38:01,22.700000762939453,46.79999923706055
00:39:01,22.700000762939453,46.79999923706055
00:40:02,22.700000762939453,46.900001525878906
00:41:01,22.700000762939453,46.900001525878906
00:42:02,22.600000381469727,47.0
00:43:02,22.700000762939453,48.0
00:44:02,22.700000762939453,48.099998474121094
00:18:02,20.399999618530273,47.70000076293945
