DATE: Tue, 15 Sep 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:02,21.700000762939453,54.70000076293945
00:01:02,21.700000762939453,54.5
00:02:02,21.700000762939453,54.900001525878906
00:03:01,21.700000762939453,54.79999923706055
00:04:01,21.700000762939453,54.70000076293945
00:05:02,21.700000762939453,54.900001525878906
00:06:01,21.700000762939453,54.900001525878906
00:07:01,21.600000381469727,54.79999923706055
00:08:02,21.600000381469727,54.599998474121094
00:09:02,21.700000762939453,54.70000076293945
00:10:02,21.700000762939453,54.79999923706055
00:11:02,21.700000762939453,55.0
00:12:02,21.600000381469727,54.70000076293945
00:13:02,21.700000762939453,54.70000076293945
00:14:02,21.700000762939453,54.79999923706055
00:15:02,21.700000762939453,54.70000076293945
00:16:02,21.700000762939453,54.70000076293945
00:17:02,21.700000762939453,54.5
00:18:01,21.600000381469727,54.599998474121094
00:19:02,21.600000381469727,54.599998474121094
00:20:02,21.600000381469727,54.599998474121094
00:21:01,21.700000762939453,54.900001525878906
00:22:01,21.600000381469727,54.599998474121094
00:23:01,21.700000762939453,54.400001525878906
00:24:01,21.600000381469727,54.29999923706055
00:25:01,21.600000381469727,54.400001525878906
00:26:01,21.600000381469727,54.5
00:27:01,21.600000381469727,54.5
00:28:01,21.700000762939453,54.5
00:29:01,21.600000381469727,54.79999923706055
00:30:02,21.600000381469727,54.70000076293945
00:31:01,21.700000762939453,54.79999923706055
00:32:01,21.600000381469727,54.79999923706055
00:33:01,21.700000762939453,54.79999923706055
00:34:01,21.700000762939453,54.79999923706055
00:35:01,21.700000762939453,54.900001525878906
00:36:01,21.700000762939453,54.900001525878906
00:37:01,21.600000381469727,54.79999923706055
00:38:01,21.600000381469727,54.5
00:39:01,21.700000762939453,54.70000076293945
00:40:02,21.600000381469727,54.599998474121094
00:41:01,21.600000381469727,54.599998474121094
00:42:01,21.600000381469727,54.70000076293945
00:43:01,21.600000381469727,54.599998474121094
00:44:01,21.600000381469727,54.79999923706055
00:45:01,21.600000381469727,54.79999923706055
00:46:01,21.600000381469727,54.79999923706055
00:47:01,21.600000381469727,54.79999923706055
00:48:02,21.600000381469727,54.900001525878906
00:49:02,21.600000381469727,55.0
00:50:02,21.600000381469727,55.0
00:51:01,21.600000381469727,55.099998474121094
00:52:01,21.600000381469727,55.0
00:53:01,21.600000381469727,55.099998474121094
00:54:02,21.600000381469727,55.0
00:55:01,21.600000381469727,55.099998474121094
00:56:02,21.600000381469727,55.0
00:57:02,21.600000381469727,54.900001525878906
00:58:02,21.600000381469727,54.900001525878906
00:59:02,21.600000381469727,55.0
01:00:01,21.600000381469727,55.0
01:01:01,21.600000381469727,55.0
01:02:02,21.600000381469727,55.0
01:03:02,21.600000381469727,55.099998474121094
01:04:02,21.600000381469727,55.0
01:05:02,21.600000381469727,55.099998474121094
