DATE: Thu, 25 Jun 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,23.899999618530273,40.70000076293945
00:01:01,23.899999618530273,40.70000076293945
00:02:02,23.899999618530273,40.79999923706055
00:03:01,23.799999237060547,40.79999923706055
00:04:02,23.799999237060547,40.70000076293945
00:05:02,23.799999237060547,40.599998474121094
00:06:02,23.799999237060547,40.70000076293945
00:07:02,23.799999237060547,40.70000076293945
00:08:01,23.799999237060547,40.70000076293945
00:09:01,23.700000762939453,40.70000076293945
00:10:01,23.700000762939453,40.70000076293945
00:11:01,23.700000762939453,40.79999923706055
00:12:01,23.600000381469727,40.79999923706055
00:13:02,23.600000381469727,40.79999923706055
00:14:02,23.5,41.0
00:15:01,23.5,41.0
00:16:01,23.5,41.099998474121094
00:17:02,23.5,41.20000076293945
00:18:01,23.5,41.20000076293945
00:19:01,23.5,41.29999923706055
00:20:02,23.5,41.5
00:21:02,23.399999618530273,41.5
00:22:02,23.399999618530273,42.0
00:23:02,23.399999618530273,41.5
00:24:01,23.399999618530273,41.599998474121094
00:25:01,23.299999237060547,41.70000076293945
00:26:02,23.299999237060547,41.70000076293945
00:27:01,23.299999237060547,41.79999923706055
00:28:02,23.299999237060547,41.70000076293945
00:29:02,23.299999237060547,41.70000076293945
00:30:02,23.299999237060547,41.79999923706055
00:31:02,23.200000762939453,41.79999923706055
00:32:02,23.200000762939453,41.70000076293945
00:33:02,23.200000762939453,41.79999923706055
00:34:02,23.200000762939453,41.79999923706055
00:35:01,23.200000762939453,41.900001525878906
00:36:02,23.200000762939453,41.900001525878906
00:37:02,23.200000762939453,41.900001525878906
00:38:02,23.200000762939453,42.0
00:39:02,23.100000381469727,42.0
00:40:02,23.100000381469727,42.099998474121094
00:41:02,23.100000381469727,42.099998474121094
00:42:02,23.100000381469727,42.20000076293945
00:43:02,23.100000381469727,42.099998474121094
00:44:02,23.100000381469727,42.20000076293945
00:45:01,23.100000381469727,42.20000076293945
00:46:01,23.0,42.20000076293945
00:47:01,23.100000381469727,42.29999923706055
00:48:01,23.0,42.20000076293945
00:49:02,23.0,42.29999923706055
00:50:01,23.0,42.29999923706055
00:51:01,23.0,42.29999923706055
00:52:01,23.0,42.20000076293945
00:53:01,23.0,42.20000076293945
00:54:01,23.0,42.29999923706055
00:55:01,23.0,42.400001525878906
00:56:01,22.899999618530273,42.29999923706055
00:57:01,23.0,42.29999923706055
00:58:02,23.0,42.400001525878906
00:59:02,22.899999618530273,42.400001525878906
01:00:02,22.899999618530273,42.400001525878906
01:01:02,22.899999618530273,42.400001525878906
01:02:02,22.899999618530273,42.400001525878906
