DATE: Wed, 07 Oct 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,20.5,61.79999923706055
00:01:01,20.5,61.900001525878906
00:02:02,20.5,61.79999923706055
00:03:02,20.5,61.70000076293945
00:04:01,20.5,61.79999923706055
00:05:01,20.5,61.79999923706055
00:06:01,20.5,61.900001525878906
00:07:01,20.399999618530273,61.70000076293945
00:08:01,20.5,61.900001525878906
00:09:01,20.5,61.70000076293945
00:10:02,20.5,61.900001525878906
00:11:02,20.5,62.0
00:12:02,20.5,61.79999923706055
00:13:02,20.5,61.79999923706055
00:14:02,20.5,61.900001525878906
00:15:02,20.5,61.900001525878906
00:16:02,20.5,61.900001525878906
00:17:02,20.5,61.599998474121094
00:18:01,20.5,61.599998474121094
00:19:01,20.5,61.70000076293945
00:20:02,20.5,61.70000076293945
00:21:01,20.5,61.70000076293945
00:22:02,20.5,61.70000076293945
00:23:02,20.5,61.79999923706055
00:24:02,20.5,61.70000076293945
00:25:01,20.5,61.70000076293945
00:26:02,20.5,61.599998474121094
00:27:02,20.5,61.599998474121094
00:28:02,20.5,61.599998474121094
00:29:02,20.5,61.599998474121094
00:30:02,20.5,61.70000076293945
00:31:01,20.5,61.79999923706055
00:32:01,20.5,61.70000076293945
00:33:01,20.5,61.70000076293945
00:34:01,20.5,61.70000076293945
00:35:01,20.5,61.70000076293945
00:36:01,20.5,61.599998474121094
00:37:02,20.5,61.599998474121094
00:38:02,20.5,61.5
00:39:01,20.5,61.400001525878906
00:40:02,20.5,61.5
00:41:01,20.5,61.5
00:42:02,20.5,61.5
00:43:02,20.5,61.5
00:44:01,20.5,61.599998474121094
00:45:02,20.5,61.599998474121094
00:46:02,20.5,61.599998474121094
00:47:02,20.5,61.79999923706055
00:48:02,20.5,61.79999923706055
00:49:02,20.5,61.79999923706055
00:50:02,20.5,61.79999923706055
00:51:01,20.5,61.79999923706055
00:52:01,20.5,61.79999923706055
00:53:01,20.5,61.79999923706055
00:54:01,20.5,61.70000076293945
00:55:02,20.5,61.599998474121094
00:56:02,20.5,61.70000076293945
00:57:01,20.5,61.79999923706055
00:58:02,20.399999618530273,61.70000076293945
00:59:01,20.5,61.79999923706055
01:00:01,20.5,61.900001525878906
01:01:01,20.5,61.79999923706055
01:02:02,20.5,61.70000076293945
01:03:02,20.399999618530273,61.70000076293945
01:04:01,20.5,61.79999923706055
01:05:01,20.5,61.79999923706055
01:06:01,20.5,61.79999923706055
01:07:01,20.399999618530273,61.79999923706055
01:08:01,20.399999618530273,61.70000076293945
01:09:01,20.5,61.79999923706055
01:10:02,20.5,61.79999923706055
01:11:01,20.5,61.79999923706055
01:12:01,20.5,61.900001525878906
01:13:01,20.399999618530273,61.70000076293945
01:14:01,20.5,61.900001525878906
01:15:01,20.399999618530273,61.79999923706055
01:16:01,20.5,61.900001525878906
01:17:01,20.5,61.79999923706055
01:18:02,20.5,61.79999923706055
01:19:02,20.399999618530273,61.70000076293945
01:20:02,20.399999618530273,61.70000076293945
01:21:02,20.399999618530273,61.70000076293945
01:22:01,20.399999618530273,61.70000076293945
01:23:02,20.399999618530273,61.79999923706055
01:24:01,20.5,61.900001525878906
01:25:01,20.399999618530273,61.79999923706055
01:26:02,20.5,61.79999923706055
01:27:02,20.399999618530273,61.599998474121094
01:28:02,20.5,61.79999923706055
01:29:02,20.399999618530273,61.70000076293945
01:30:02,20.5,61.70000076293945
01:31:01,20.399999618530273,61.70000076293945
01:32:01,20.399999618530273,61.599998474121094
01:33:02,20.399999618530273,61.70000076293945
01:34:01,20.399999618530273,61.79999923706055
01:35:01,20.399999618530273,61.79999923706055
01:36:01,20.399999618530273,61.70000076293945
01:37:01,20.399999618530273,61.79999923706055
01:38:01,20.399999618530273,61.70000076293945
01:39:01,20.399999618530273,61.599998474121094
01:40:01,20.399999618530273,61.599998474121094
01:41:01,20.399999618530273,61.70000076293945
01:42:01,20.399999618530273,61.70000076293945
01:43:01,20.399999618530273,61.599998474121094
01:44:01,20.399999618530273,61.5
01:45:01,20.399999618530273,61.5
01:46:01,20.399999618530273,61.900001525878906
01:47:01,20.399999618530273,61.70000076293945
01:48:02,20.399999618530273,61.70000076293945
01:49:02,20.399999618530273,61.70000076293945
01:50:01,20.399999618530273,61.599998474121094
01:51:01,20.399999618530273,61.599998474121094
01:52:01,20.399999618530273,61.5
01:53:01,20.399999618530273,61.5
01:54:01,20.399999618530273,61.5
01:55:01,20.399999618530273,61.400001525878906
01:56:01,20.399999618530273,61.400001525878906
01:57:01,20.399999618530273,61.29999923706055
01:58:02,20.399999618530273,61.29999923706055
01:59:01,20.399999618530273,61.29999923706055
02:00:01,20.399999618530273,61.29999923706055
02:01:01,20.399999618530273,61.20000076293945
02:02:02,20.399999618530273,61.20000076293945
02:03:02,20.399999618530273,61.20000076293945
02:04:02,20.399999618530273,61.20000076293945
02:05:02,20.299999237060547,61.20000076293945
02:06:01,20.399999618530273,61.20000076293945
02:07:02,20.399999618530273,61.099998474121094
02:08:02,20.399999618530273,61.20000076293945
02:09:02,20.399999618530273,61.20000076293945
02:10:02,20.299999237060547,61.099998474121094
02:11:02,20.399999618530273,61.099998474121094
02:12:02,20.399999618530273,61.099998474121094
02:13:02,20.399999618530273,61.099998474121094
02:14:02,20.399999618530273,61.099998474121094
02:15:02,20.399999618530273,61.0
02:16:02,20.299999237060547,61.099998474121094
02:17:01,20.399999618530273,61.099998474121094
02:18:01,20.399999618530273,61.099998474121094
02:19:01,20.399999618530273,61.099998474121094
02:20:02,20.399999618530273,61.099998474121094
02:21:01,20.299999237060547,61.099998474121094
02:22:01,20.399999618530273,61.0
02:23:01,20.399999618530273,61.099998474121094
02:24:01,20.399999618530273,61.099998474121094
02:25:02,20.399999618530273,61.099998474121094
02:26:02,20.399999618530273,61.20000076293945
02:27:01,20.399999618530273,61.20000076293945
02:28:01,20.399999618530273,61.099998474121094
02:29:02,20.399999618530273,61.099998474121094
02:30:02,20.399999618530273,61.0
02:31:02,20.399999618530273,61.0
02:32:01,20.399999618530273,61.0
02:33:01,20.399999618530273,61.0
02:34:01,20.399999618530273,61.0
02:35:01,20.399999618530273,60.900001525878906
02:36:02,20.299999237060547,60.900001525878906
02:37:01,20.399999618530273,60.900001525878906
02:38:01,20.399999618530273,60.79999923706055
02:39:01,20.399999618530273,60.70000076293945
02:40:02,20.399999618530273,60.70000076293945
02:41:01,20.399999618530273,60.70000076293945
02:42:02,20.399999618530273,60.70000076293945
02:43:02,20.399999618530273,60.900001525878906
02:44:02,20.399999618530273,60.70000076293945
02:45:02,20.399999618530273,60.79999923706055
02:46:02,20.399999618530273,60.70000076293945
02:47:02,20.399999618530273,60.70000076293945
