DATE: Tue, 09 Jun 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,24.0,35.900001525878906
00:01:01,24.0,36.400001525878906
00:02:02,24.0,39.400001525878906
00:03:01,24.0,39.70000076293945
00:04:01,24.0,39.79999923706055
00:05:01,24.100000381469727,39.79999923706055
00:06:01,24.100000381469727,41.400001525878906
00:07:01,24.100000381469727,40.900001525878906
00:08:01,24.100000381469727,41.20000076293945
00:09:01,24.100000381469727,40.400001525878906
00:10:02,24.100000381469727,39.79999923706055
00:11:01,24.100000381469727,39.70000076293945
00:12:01,24.100000381469727,39.400001525878906
00:13:01,24.100000381469727,39.29999923706055
00:14:01,24.0,38.900001525878906
00:15:01,24.100000381469727,38.900001525878906
00:16:01,24.0,38.79999923706055
00:17:01,24.0,38.79999923706055
00:18:02,24.100000381469727,38.900001525878906
00:19:02,24.100000381469727,38.900001525878906
00:20:02,24.0,38.79999923706055
00:21:02,24.100000381469727,39.0
00:22:02,24.0,38.900001525878906
00:23:02,24.100000381469727,39.0
00:24:02,24.0,39.099998474121094
00:25:02,24.0,38.70000076293945
00:26:02,24.0,39.099998474121094
00:27:02,24.0,39.099998474121094
00:28:02,24.0,39.0
00:29:02,24.0,39.099998474121094
00:30:02,24.0,38.900001525878906
00:31:02,24.0,39.0
00:32:02,24.0,38.900001525878906
00:33:02,24.0,38.900001525878906
00:34:02,24.0,38.900001525878906
00:35:02,24.0,38.70000076293945
00:36:02,24.0,38.70000076293945
00:37:02,24.0,38.79999923706055
00:38:02,24.0,38.79999923706055
00:39:02,24.0,38.79999923706055
00:40:02,24.0,38.79999923706055
00:41:02,24.0,38.79999923706055
00:42:02,24.0,38.70000076293945
00:43:02,24.0,38.5
00:44:02,23.899999618530273,38.20000076293945
00:45:01,24.0,38.0
00:46:01,23.899999618530273,38.099998474121094
00:47:01,23.899999618530273,38.0
00:48:01,23.799999237060547,37.79999923706055
00:49:02,23.899999618530273,37.70000076293945
00:50:02,23.799999237060547,37.5
00:51:01,23.799999237060547,37.599998474121094
00:52:01,23.799999237060547,37.400001525878906
00:53:01,23.799999237060547,37.400001525878906
00:54:01,23.700000762939453,37.5
00:55:02,23.799999237060547,37.29999923706055
00:56:02,23.700000762939453,37.400001525878906
00:57:02,23.700000762939453,37.599998474121094
00:58:02,23.700000762939453,37.400001525878906
00:59:02,23.700000762939453,37.400001525878906
01:00:02,23.700000762939453,37.5
01:01:01,23.700000762939453,37.29999923706055
01:02:02,23.600000381469727,37.29999923706055
01:03:01,23.600000381469727,37.29999923706055
01:04:02,23.700000762939453,37.400001525878906
01:05:02,23.600000381469727,37.29999923706055
01:06:01,23.600000381469727,37.29999923706055
01:07:01,23.600000381469727,37.29999923706055
01:08:01,23.600000381469727,37.29999923706055
01:09:01,23.600000381469727,37.29999923706055
01:10:02,23.600000381469727,37.29999923706055
01:11:02,23.600000381469727,37.20000076293945
01:12:02,23.5,37.29999923706055
01:13:01,23.5,37.20000076293945
01:14:02,23.5,37.20000076293945
01:15:01,23.5,37.20000076293945
01:16:01,23.5,37.20000076293945
