DATE: Fri, 30 Oct 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:02,24.0,51.900001525878906
00:01:01,23.899999618530273,51.79999923706055
00:02:01,23.899999618530273,51.79999923706055
00:03:01,24.0,51.900001525878906
00:04:01,24.0,52.0
00:05:02,24.0,52.0
00:06:01,24.0,51.900001525878906
00:07:01,24.0,51.900001525878906
00:08:01,24.0,51.79999923706055
00:09:01,24.0,51.70000076293945
00:10:01,24.0,51.70000076293945
00:11:01,24.0,51.70000076293945
00:12:02,24.0,51.599998474121094
00:13:02,24.0,51.5
00:14:02,24.0,51.599998474121094
00:15:01,24.0,51.5
00:16:02,24.100000381469727,51.599998474121094
00:17:02,24.100000381469727,51.599998474121094
00:18:02,24.100000381469727,51.599998474121094
00:19:02,24.100000381469727,51.599998474121094
00:20:02,24.100000381469727,51.599998474121094
00:21:01,24.100000381469727,51.70000076293945
00:22:01,24.100000381469727,51.599998474121094
00:23:01,24.100000381469727,51.599998474121094
00:24:01,24.0,51.5
00:25:02,24.100000381469727,51.599998474121094
00:26:02,24.100000381469727,51.599998474121094
00:27:02,24.100000381469727,51.599998474121094
00:28:02,24.100000381469727,51.599998474121094
00:29:02,24.100000381469727,51.599998474121094
00:30:01,24.100000381469727,51.599998474121094
00:31:01,24.100000381469727,51.599998474121094
00:32:01,24.100000381469727,51.599998474121094
00:33:02,24.100000381469727,51.5
00:34:02,24.100000381469727,51.5
00:35:02,24.100000381469727,51.599998474121094
00:36:01,24.100000381469727,51.5
00:37:01,24.100000381469727,51.5
00:38:02,24.100000381469727,51.5
00:39:02,24.200000762939453,51.5
00:40:02,24.100000381469727,51.5
00:41:02,24.200000762939453,51.5
00:42:02,24.200000762939453,51.5
00:43:02,24.100000381469727,51.5
00:44:01,24.100000381469727,51.5
00:45:01,24.100000381469727,51.5
00:46:01,24.0,51.599998474121094
00:47:01,23.899999618530273,51.599998474121094
00:48:01,23.899999618530273,51.79999923706055
00:49:02,24.0,51.79999923706055
