DATE: Thu, 16 Jul 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,22.200000762939453,45.599998474121094
00:01:01,22.200000762939453,45.5
00:02:02,22.200000762939453,45.400001525878906
00:03:01,22.200000762939453,45.29999923706055
00:04:02,22.200000762939453,45.400001525878906
00:05:02,22.200000762939453,45.5
00:06:02,22.200000762939453,46.0
00:07:02,22.200000762939453,45.5
00:08:02,22.200000762939453,45.599998474121094
00:09:02,22.200000762939453,45.599998474121094
00:10:02,22.200000762939453,45.5
00:11:02,22.200000762939453,45.599998474121094
00:12:02,22.200000762939453,45.599998474121094
00:13:02,22.100000381469727,45.400001525878906
00:14:01,22.100000381469727,45.099998474121094
00:15:02,22.200000762939453,45.099998474121094
00:16:02,22.100000381469727,45.20000076293945
00:17:02,22.100000381469727,45.0
00:18:02,22.100000381469727,44.599998474121094
00:19:01,22.100000381469727,44.79999923706055
00:20:02,22.100000381469727,44.79999923706055
00:21:01,22.100000381469727,44.5
00:22:01,22.100000381469727,44.5
00:23:01,22.100000381469727,44.5
00:24:01,22.100000381469727,44.400001525878906
00:25:01,22.100000381469727,44.400001525878906
00:26:01,22.100000381469727,44.400001525878906
00:27:01,22.100000381469727,44.400001525878906
00:28:01,22.0,44.29999923706055
00:29:01,22.100000381469727,44.5
00:30:02,22.0,44.400001525878906
00:31:02,22.0,44.29999923706055
00:32:01,22.100000381469727,44.400001525878906
00:33:01,22.0,44.400001525878906
00:34:01,22.0,44.400001525878906
00:35:01,22.0,44.400001525878906
00:36:01,22.0,44.5
00:37:01,22.0,44.400001525878906
00:38:01,22.0,44.400001525878906
00:39:02,22.0,44.400001525878906
00:40:02,22.0,44.400001525878906
00:41:01,22.0,44.400001525878906
00:42:02,22.100000381469727,44.5
00:43:02,22.0,44.29999923706055
00:44:02,22.0,44.400001525878906
00:45:02,22.0,44.400001525878906
00:46:01,22.0,44.400001525878906
00:47:01,22.0,44.400001525878906
00:48:01,22.0,44.400001525878906
00:49:01,22.0,44.400001525878906
00:50:02,22.0,44.400001525878906
00:51:01,22.0,44.400001525878906
00:52:01,22.0,44.400001525878906
00:53:01,22.0,44.400001525878906
00:54:01,21.899999618530273,44.400001525878906
00:55:01,21.899999618530273,44.400001525878906
00:56:01,21.899999618530273,44.400001525878906
00:57:02,22.0,44.400001525878906
00:58:02,22.0,44.400001525878906
