DATE: Sat, 27 Jun 2015 00:00:04 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,21.200000762939453,46.70000076293945
00:01:02,21.299999237060547,47.099998474121094
00:02:02,21.200000762939453,46.900001525878906
00:03:01,21.200000762939453,46.79999923706055
00:04:01,21.200000762939453,47.20000076293945
00:05:02,21.200000762939453,47.400001525878906
00:06:01,21.200000762939453,47.099998474121094
00:07:02,21.200000762939453,47.29999923706055
00:08:01,21.200000762939453,47.29999923706055
00:09:01,21.200000762939453,47.400001525878906
00:10:02,21.200000762939453,47.400001525878906
00:11:01,21.200000762939453,47.400001525878906
00:12:01,21.200000762939453,47.29999923706055
00:13:01,21.200000762939453,47.20000076293945
00:14:01,21.200000762939453,47.0
00:15:01,21.200000762939453,47.5
00:16:02,21.100000381469727,47.29999923706055
00:17:02,21.100000381469727,47.0
00:18:01,21.200000762939453,47.599998474121094
00:19:01,21.100000381469727,47.099998474121094
00:20:02,21.100000381469727,47.20000076293945
00:21:01,21.100000381469727,47.099998474121094
00:22:01,21.100000381469727,47.599998474121094
00:23:02,21.100000381469727,47.5
00:24:01,21.100000381469727,47.29999923706055
00:25:01,21.100000381469727,47.099998474121094
00:26:01,21.100000381469727,47.20000076293945
00:27:01,21.100000381469727,47.29999923706055
00:28:01,21.100000381469727,47.29999923706055
00:29:01,21.100000381469727,47.29999923706055
00:30:02,21.0,47.29999923706055
00:31:01,21.100000381469727,47.5
00:32:01,21.100000381469727,47.599998474121094
00:33:01,21.100000381469727,47.599998474121094
00:34:01,21.100000381469727,47.70000076293945
00:35:02,21.100000381469727,47.599998474121094
00:36:02,21.100000381469727,47.400001525878906
00:37:02,21.100000381469727,47.5
00:38:02,21.100000381469727,47.400001525878906
00:39:01,21.100000381469727,47.400001525878906
00:40:02,21.100000381469727,47.29999923706055
00:41:01,21.100000381469727,47.29999923706055
00:42:01,21.100000381469727,47.29999923706055
00:43:01,21.100000381469727,47.29999923706055
00:44:01,21.100000381469727,47.29999923706055
00:45:01,21.200000762939453,47.29999923706055
00:46:01,21.100000381469727,47.29999923706055
00:47:01,21.100000381469727,47.400001525878906
00:48:01,21.100000381469727,47.29999923706055
00:49:01,21.100000381469727,47.29999923706055
00:50:02,21.100000381469727,47.20000076293945
00:51:01,21.100000381469727,47.20000076293945
00:52:01,21.100000381469727,47.20000076293945
00:53:01,21.100000381469727,47.29999923706055
00:54:01,21.100000381469727,47.29999923706055
00:55:02,21.100000381469727,47.20000076293945
00:56:02,21.100000381469727,47.20000076293945
00:57:02,21.100000381469727,47.20000076293945
00:58:01,21.100000381469727,47.20000076293945
00:59:02,21.100000381469727,47.20000076293945
01:00:01,21.100000381469727,47.20000076293945
01:01:01,21.100000381469727,47.099998474121094
01:02:02,21.100000381469727,47.099998474121094
01:03:01,21.100000381469727,47.099998474121094
01:04:01,21.100000381469727,47.099998474121094
01:05:02,21.100000381469727,47.20000076293945
01:06:02,21.0,47.099998474121094
01:07:02,21.100000381469727,47.099998474121094
01:08:02,21.0,47.0
01:09:02,21.100000381469727,47.099998474121094
01:10:02,21.100000381469727,47.099998474121094
01:11:01,21.100000381469727,47.20000076293945
01:12:01,21.100000381469727,47.20000076293945
01:13:02,21.100000381469727,47.20000076293945
