DATE: Sat, 08 Aug 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:01,23.600000381469727,38.900001525878906
00:01:01,23.600000381469727,38.900001525878906
00:02:02,23.600000381469727,38.900001525878906
00:03:01,23.600000381469727,39.0
00:04:01,23.600000381469727,39.0
00:05:02,23.600000381469727,39.20000076293945
00:06:01,23.600000381469727,39.099998474121094
00:07:02,23.600000381469727,39.099998474121094
00:08:01,23.600000381469727,39.20000076293945
00:09:01,23.5,39.0
00:10:02,23.5,39.099998474121094
00:11:02,23.600000381469727,39.099998474121094
00:12:02,23.600000381469727,38.900001525878906
00:13:01,23.600000381469727,39.20000076293945
00:14:01,23.600000381469727,39.099998474121094
00:15:01,23.5,39.099998474121094
00:16:01,23.5,39.20000076293945
00:17:02,23.5,39.099998474121094
00:18:02,23.5,39.0
00:19:02,23.5,38.900001525878906
00:20:02,23.5,39.099998474121094
00:21:02,23.5,39.0
00:22:02,23.5,39.0
00:23:02,23.5,39.0
00:24:01,23.5,39.099998474121094
00:25:01,23.399999618530273,39.099998474121094
00:26:01,23.399999618530273,39.0
00:27:01,23.399999618530273,38.79999923706055
00:28:01,23.399999618530273,39.099998474121094
00:29:01,23.399999618530273,39.0
00:30:02,23.399999618530273,39.0
00:31:01,23.399999618530273,39.099998474121094
00:32:01,23.399999618530273,39.0
00:33:01,23.399999618530273,39.099998474121094
00:34:01,23.399999618530273,39.0
00:35:01,23.399999618530273,39.099998474121094
00:36:01,23.399999618530273,39.0
00:37:01,23.399999618530273,39.099998474121094
00:38:01,23.399999618530273,39.20000076293945
00:39:01,23.299999237060547,39.099998474121094
00:40:02,23.299999237060547,39.20000076293945
00:41:02,23.299999237060547,39.20000076293945
00:42:02,23.299999237060547,39.29999923706055
00:43:02,23.299999237060547,39.400001525878906
00:44:01,23.299999237060547,39.29999923706055
00:45:01,23.299999237060547,39.400001525878906
00:46:01,23.200000762939453,39.20000076293945
00:47:01,23.299999237060547,39.400001525878906
00:48:01,23.200000762939453,39.20000076293945
00:49:02,23.200000762939453,39.400001525878906
00:50:02,23.200000762939453,39.29999923706055
00:51:01,23.299999237060547,39.400001525878906
00:52:01,23.200000762939453,39.400001525878906
00:53:01,23.200000762939453,39.29999923706055
00:54:02,23.200000762939453,39.400001525878906
00:55:01,23.200000762939453,39.400001525878906
00:56:01,23.200000762939453,39.599998474121094
00:57:01,23.200000762939453,39.5
00:58:02,23.200000762939453,39.5
00:59:01,23.200000762939453,39.599998474121094
01:00:01,23.200000762939453,39.599998474121094
01:01:01,23.200000762939453,39.70000076293945
01:02:02,23.200000762939453,39.70000076293945
01:03:02,23.200000762939453,39.70000076293945
01:04:02,23.200000762939453,39.70000076293945
01:05:02,23.200000762939453,39.900001525878906
01:06:02,23.100000381469727,39.70000076293945
01:07:01,23.200000762939453,39.900001525878906
01:08:01,23.200000762939453,39.900001525878906
01:09:01,23.200000762939453,40.29999923706055
01:10:02,23.100000381469727,39.900001525878906
01:11:02,23.200000762939453,39.79999923706055
01:12:02,23.200000762939453,39.900001525878906
01:13:02,23.100000381469727,40.0
01:14:02,23.200000762939453,39.900001525878906
01:15:02,23.100000381469727,40.0
01:16:02,23.100000381469727,40.0
01:17:01,23.100000381469727,40.0
01:18:01,23.100000381469727,40.0
01:19:01,23.100000381469727,40.0
01:20:02,23.100000381469727,40.0
01:21:01,23.100000381469727,40.0
01:22:01,23.100000381469727,40.0
01:23:01,23.100000381469727,40.099998474121094
01:24:01,23.100000381469727,40.099998474121094
01:25:02,23.100000381469727,39.900001525878906
01:26:02,23.100000381469727,40.0
01:27:02,23.100000381469727,39.900001525878906
01:28:02,23.100000381469727,39.79999923706055
01:29:02,23.0,39.900001525878906
01:30:02,23.100000381469727,40.0
01:31:01,23.0,39.900001525878906
01:32:01,23.0,39.900001525878906
01:33:02,23.0,39.79999923706055
01:34:02,23.0,39.79999923706055
01:35:02,23.0,39.900001525878906
01:36:02,23.0,39.900001525878906
01:37:02,23.0,40.0
01:38:02,23.0,39.900001525878906
01:39:01,23.0,40.0
01:40:02,23.0,39.900001525878906
01:41:02,22.899999618530273,40.0
01:42:02,22.899999618530273,39.900001525878906
01:43:02,23.0,39.900001525878906
01:44:02,23.0,39.900001525878906
01:45:02,22.899999618530273,39.900001525878906
01:46:02,22.899999618530273,39.900001525878906
01:47:01,22.899999618530273,40.0
01:48:01,22.899999618530273,40.0
01:49:01,22.899999618530273,40.0
01:50:02,22.799999237060547,40.0
01:51:01,22.899999618530273,40.0
01:52:01,22.899999618530273,40.0
01:53:01,22.799999237060547,39.79999923706055
01:54:02,22.799999237060547,39.900001525878906
01:55:02,22.799999237060547,40.0
01:56:02,22.799999237060547,39.900001525878906
01:57:02,22.799999237060547,40.099998474121094
01:58:02,22.799999237060547,39.900001525878906
01:59:01,22.799999237060547,40.0
02:00:02,22.799999237060547,39.900001525878906
02:01:02,22.799999237060547,39.900001525878906
02:02:02,22.799999237060547,39.900001525878906
02:03:01,22.799999237060547,40.0
02:04:01,22.799999237060547,40.0
02:05:02,22.799999237060547,40.099998474121094
02:06:02,22.799999237060547,40.20000076293945
02:07:02,22.799999237060547,40.29999923706055
02:08:02,22.799999237060547,40.20000076293945
02:09:02,22.799999237060547,40.599998474121094
02:10:02,22.700000762939453,40.099998474121094
02:11:02,22.799999237060547,40.20000076293945
