DATE: Mon, 26 Oct 2015 00:00:02 +0000
Time,Temperature [degree C],Relative humidity [%]
00:00:02,22.0,47.400001525878906
00:01:02,22.0,47.400001525878906
00:02:02,21.899999618530273,47.400001525878906
00:03:01,22.0,47.400001525878906
00:04:01,22.0,47.79999923706055
00:05:02,21.899999618530273,47.400001525878906
00:06:02,21.899999618530273,47.400001525878906
00:07:02,22.0,47.400001525878906
00:08:02,22.0,47.400001525878906
00:09:02,22.0,47.400001525878906
00:10:02,22.0,47.400001525878906
00:11:01,22.0,47.29999923706055
00:12:01,22.0,47.400001525878906
00:13:01,22.0,47.400001525878906
00:14:01,22.0,47.400001525878906
00:15:01,22.0,47.400001525878906
00:16:01,22.0,47.400001525878906
00:17:01,22.0,47.400001525878906
00:18:02,22.0,47.400001525878906
00:19:02,22.0,47.400001525878906
00:20:02,21.899999618530273,47.400001525878906
00:21:02,22.0,47.400001525878906
00:22:02,22.0,47.29999923706055
00:23:02,22.0,47.29999923706055
00:24:02,21.899999618530273,47.29999923706055
00:25:02,22.0,47.400001525878906
00:26:01,22.0,47.400001525878906
00:27:01,22.0,47.400001525878906
00:28:01,22.0,47.29999923706055
00:29:01,22.0,47.29999923706055
00:30:02,22.0,47.29999923706055
00:31:01,22.100000381469727,47.400001525878906
00:32:01,22.100000381469727,47.5
00:33:01,22.100000381469727,47.400001525878906
00:34:01,22.200000762939453,47.5
00:35:02,22.299999237060547,47.900001525878906
00:36:02,22.299999237060547,48.20000076293945
00:37:02,22.299999237060547,48.29999923706055
00:38:02,22.299999237060547,48.29999923706055
00:39:02,22.299999237060547,48.400001525878906
00:40:02,22.299999237060547,48.5
00:41:01,22.299999237060547,48.599998474121094
00:42:02,22.299999237060547,48.599998474121094
00:43:02,22.200000762939453,48.29999923706055
00:44:01,22.299999237060547,48.599998474121094
00:45:01,22.200000762939453,48.400001525878906
00:46:01,22.200000762939453,48.29999923706055
00:47:01,22.200000762939453,48.20000076293945
00:48:02,22.200000762939453,48.099998474121094
00:49:02,22.200000762939453,47.900001525878906
00:50:01,22.100000381469727,47.900001525878906
00:51:02,22.100000381469727,47.70000076293945
00:52:02,22.0,47.70000076293945
00:53:02,22.0,47.79999923706055
00:54:01,22.0,47.79999923706055
00:55:01,22.0,47.70000076293945
00:56:02,22.0,47.70000076293945
00:57:01,22.0,47.79999923706055
00:58:02,22.0,47.70000076293945
00:59:01,22.0,47.599998474121094
01:00:01,22.0,47.5
01:01:02,22.0,47.5
01:02:02,22.0,47.599998474121094
01:03:01,22.0,47.70000076293945
01:04:02,22.0,47.70000076293945
01:05:02,22.0,47.599998474121094
01:06:02,22.0,47.599998474121094
01:07:01,22.100000381469727,47.70000076293945
01:08:02,22.100000381469727,47.900001525878906
01:09:02,22.100000381469727,48.0
01:10:02,22.200000762939453,48.0
01:11:02,22.200000762939453,48.0
01:12:01,22.200000762939453,48.400001525878906
01:13:02,22.200000762939453,48.0
01:14:02,22.200000762939453,47.900001525878906
01:15:02,22.200000762939453,47.900001525878906
01:16:01,22.299999237060547,48.0
01:17:01,22.299999237060547,48.5
01:18:01,22.299999237060547,48.0
01:19:01,22.299999237060547,48.099998474121094
01:20:02,22.299999237060547,48.099998474121094
01:21:02,22.399999618530273,47.900001525878906
01:22:02,22.399999618530273,48.0
01:23:02,22.299999237060547,47.900001525878906
01:24:02,22.200000762939453,47.599998474121094
01:25:02,22.200000762939453,47.79999923706055
01:26:01,22.200000762939453,47.70000076293945
01:27:01,22.100000381469727,47.70000076293945
